Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;47.7;2.034016722512332;0.29871917138293314;5.626630988324905;268.9563849
1;66.9;1.3897404344218258;0.023965714615115007;9.571872101676117;545.0250985
2;73.4;1.0684843522486305;0.01505419548507403;9.144302128069993;798.9788218
3;75.6;0.9410559857243747;0.006808375530735365;9.136234257503297;1059.0985441
4;76.5;0.8770996081243204;0.006418833378580104;9.946443350723264;1337.3236974
5;75.1;0.8362916240508953;0.005281114775399874;10.096618795945762;1617.0016509
6;78.5;0.8136844169786739;0.004667771002749805;10.2243727414778;1886.7682991
7;78;0.7962359155560527;0.003931970565830272;10.545637172401651;2152.23448
8;77.2;0.7843827227829361;0.004188423803295321;10.169469066885542;2418.7667072
9;80.1;0.7743285811818609;0.0033668882986570207;10.571273207119233;2701.4670079
