Epoch;DataIndex;Error;LearningRate;ElapsedSeconds
1;18;3.192713;0.01;0.0630837
1;12;3.1850357;0.01;0.0633063
1;30;2.3599858;0.01;0.0634832
1;36;2.3776991;0.01;0.0637462
1;24;1.8462887;0.01;0.0681682
1;0;2.578213;0.01;0.0700529
1;6;3.094134;0.01;0.0703839
1;37;1.1384252;0.01;0.089071
1;19;2.377993;0.01;0.0893916
1;13;3.2646608;0.01;0.0895493
1;25;2.4262958;0.01;0.0935422
1;1;2.3807049;0.01;0.0966855
1;31;3.1223693;0.01;0.0971834
1;7;1.0698622;0.01;0.09916
1;14;1.1588506;0.01;0.1154888
1;38;3.2613256;0.01;0.115528
1;20;3.0247583;0.01;0.1164298
1;26;2.50561;0.01;0.1190065
1;32;2.315378;0.01;0.1206648
1;2;3.0826125;0.01;0.1266803
1;8;2.4872198;0.01;0.1282375
1;39;2.4380333;0.01;0.1411813
1;15;1.7920685;0.01;0.1412668
1;21;3.0914361;0.01;0.1428948
1;27;1.7633384;0.01;0.1447975
1;9;1.9304675;0.01;0.1566899
1;33;1.7284253;0.01;0.1583255
1;3;2.5203764;0.01;0.1591746
1;16;2.3767815;0.01;0.1654532
1;22;1.140678;0.01;0.1702021
1;40;2.5514672;0.01;0.1730647
1;28;1.2076322;0.01;0.1734501
1;10;2.4675317;0.01;0.1826495
1;34;3.1733825;0.01;0.18531
1;4;3.1196842;0.01;0.1855529
1;17;2.2976906;0.01;0.1900268
1;23;1.7905346;0.01;0.1949652
1;29;2.5398183;0.01;0.1998841
1;41;1.1709348;0.01;0.2012318
1;11;3.6391091;0.01;0.2080052
1;5;1.1684027;0.01;0.2097043
1;35;3.0350485;0.01;0.2104054
1;42;2.4016552;0.01;0.2138953
1;48;2.3151674;0.01;0.2186046
1;43;1.0975978;0.01;0.2387497
1;49;1.0539289;0.01;0.2402005
1;44;1.047989;0.01;0.2533284
1;45;1.9201008;0.01;0.2662027
1;46;3.1145408;0.01;0.2808044
1;47;3.0863965;0.01;0.2939252
1;62;3.2969553;0.01;0.3211256
1;50;2.9018204;0.01;0.3277472
1;68;3.0100594;0.01;0.3284949
1;56;2.4072995;0.01;0.3293406
1;86;3.7784286;0.01;0.3300511
1;80;1.2555004;0.01;0.3300894
1;74;3.2832806;0.01;0.3334706
1;63;3.1121576;0.01;0.3456377
1;69;2.410446;0.01;0.3548364
1;87;1.1029981;0.01;0.3555685
1;57;2.3257782;0.01;0.3587569
1;81;2.3650124;0.01;0.3599344
1;75;2.290682;0.01;0.3617262
1;51;3.2815387;0.01;0.367387
1;64;1.1268891;0.01;0.3711293
1;88;1.7151175;0.01;0.3810438
1;70;2.2980368;0.01;0.3811364
1;58;2.4905393;0.01;0.384716
1;82;1.1042523;0.01;0.387378
1;76;2.4144602;0.01;0.3909195
1;65;3.141372;0.01;0.3949293
1;52;1.8589177;0.01;0.396424
1;71;3.1377873;0.01;0.4066547
1;89;3.1630514;0.01;0.4068421
1;83;3.734558;0.01;0.4136158
1;77;2.365823;0.01;0.4168571
1;66;2.4581695;0.01;0.4173321
1;59;2.5140767;0.01;0.4177349
1;53;3.7311232;0.01;0.4220476
1;72;2.2590153;0.01;0.4292117
1;90;3.2198098;0.01;0.4318887
1;84;2.4035137;0.01;0.4418355
1;67;2.4276066;0.01;0.4447224
1;60;3.4799516;0.01;0.4459311
1;73;2.2805367;0.01;0.4538661
1;54;2.559948;0.01;0.4546348
1;91;2.471781;0.01;0.4582411
1;61;2.5045083;0.01;0.467949
1;79;1.98865;0.01;0.4695455
1;92;0.98264;0.01;0.4696422
1;85;2.3338308;0.01;0.4706848
1;98;1.9427551;0.01;0.4744524
1;55;2.5780802;0.01;0.479384
1;93;1.8248732;0.01;0.4878506
1;99;2.398672;0.01;0.4879767
1;94;2.7813745;0.01;0.5011943
1;95;2.9773629;0.01;0.5140269
1;96;1.0856148;0.01;0.5278217
1;97;3.308005;0.01;0.5405516
1;136;2.9877894;0.01;0.5710514
1;100;2.209866;0.01;0.5712249
1;118;1.9442025;0.01;0.5716569
1;106;3.4281976;0.01;0.5718588
1;124;3.2519293;0.01;0.5731088
1;112;3.0684643;0.01;0.573195
1;130;2.345327;0.01;0.5737973
1;131;3.2223837;0.01;0.5910268
1;119;1.2388315;0.01;0.5961965
1;137;3.1455052;0.01;0.596725
1;107;1.9388511;0.01;0.5975318
1;101;2.2050545;0.01;0.5982115
1;113;2.3346817;0.01;0.5982754
1;125;2.274853;0.01;0.5992538
1;132;2.449014;0.01;0.6116606
1;120;2.9002216;0.01;0.6217554
1;138;2.2733195;0.01;0.623512
1;108;2.4310827;0.01;0.6243995
1;114;3.051146;0.01;0.6249505
1;102;1.9477539;0.01;0.6273755
1;126;1.9398725;0.01;0.6293962
1;133;2.286456;0.01;0.6377578
1;121;2.245135;0.01;0.645715
1;139;1.237187;0.01;0.6488041
1;115;2.4922369;0.01;0.6490961
1;109;2.567033;0.01;0.6513305
1;103;3.0621173;0.01;0.6522377
1;127;2.3122463;0.01;0.6568369
1;134;3.5672274;0.01;0.6649033
1;116;1.1121333;0.01;0.6742375
1;140;2.188389;0.01;0.6758807
1;104;1.2176529;0.01;0.6774009
1;110;3.2194414;0.01;0.6793769
1;122;3.4377613;0.01;0.6823259
1;128;2.2583911;0.01;0.6885728
1;135;1.1840054;0.01;0.690724
1;123;3.1947768;0.01;0.6952989
1;117;2.136287;0.01;0.6996357
1;105;2.3025644;0.01;0.7009879
1;141;2.8958192;0.01;0.7019277
1;111;2.2574058;0.01;0.7033015
1;129;3.189717;0.01;0.7088284
1;142;3.1674623;0.01;0.7091931
1;148;3.054305;0.01;0.7117202
1;143;1.155289;0.01;0.7219112
1;149;3.4697592;0.01;0.7245924
1;144;1.9215764;0.01;0.7351311
1;145;3.038407;0.01;0.7485195
1;146;2.3356087;0.01;0.7611358
1;147;3.1053188;0.01;0.773076
1;150;2.4262931;0.01;0.8028001
1;186;3.0622084;0.01;0.8029419
