Epoch;AvgBatchError;LearningRate;ElapsedSeconds
1;4.4221334;0.01;0.3185369
1;2.6649156;0.01;0.5753545
1;2.9160154;0.01;0.8356115
1;3.0758712;0.01;1.0532511
1;2.6612144;0.01;1.2828803
1;2.3570542;0.01;1.5301884
1;2.3980675;0.01;1.7605788
1;2.2850094;0.01;2.0307758
1;2.4598243;0.01;2.3561544
1;2.3566494;0.01;2.5827436
1;2.3981102;0.01;2.824088
1;2.3786497;0.01;3.1217575
1;2.384832;0.01;3.347514
1;2.3942142;0.01;3.6076138
1;2.4725246;0.01;3.8592095
1;2.2641373;0.01;4.1014357
1;2.313244;0.01;4.3640847
1;2.2125602;0.01;4.649208
1;2.4960773;0.01;4.9067225
1;2.3246012;0.01;5.154363
1;2.2988183;0.01;5.4182625
1;2.5205889;0.01;5.7839828
1;2.3665261;0.01;6.035484
1;2.3081238;0.01;6.305431
1;2.2411048;0.01;6.5746818
1;2.2575178;0.01;6.8097415
1;2.2998571;0.01;7.0644245
1;2.360601;0.01;7.314982
1;2.3034678;0.01;7.5126905
1;2.2656295;0.01;7.7201858
1;2.2622118;0.01;7.9354405
1;2.3377013;0.01;8.162561
1;2.3314555;0.01;8.363381
1;2.2563543;0.01;8.57142
1;2.290049;0.01;8.770155
1;2.3243663;0.01;8.978649
1;2.2088006;0.01;9.210332
1;2.2312903;0.01;9.415088
1;2.2606351;0.01;9.648341
1;2.3103251;0.01;9.876626
1;2.2996237;0.01;10.195661
1;2.2870035;0.01;10.454254
1;2.1882417;0.01;10.810608
1;2.298891;0.01;11.129693
1;2.2451262;0.01;11.386696
1;2.1561031;0.01;11.626718
1;2.2824802;0.01;11.87017
1;2.3789968;0.01;12.084893
1;2.2247808;0.01;12.289873
1;2.304875;0.01;12.503665
1;2.3656943;0.01;12.730609
1;2.21436;0.01;12.95272
1;2.1795156;0.01;13.202452
1;2.2332191;0.01;13.443634
1;2.1833105;0.01;13.68589
1;2.2726803;0.01;13.939227
1;2.2223508;0.01;14.197466
1;2.2331972;0.01;14.447032
1;2.1496246;0.01;14.698995
1;2.2379901;0.01;14.977902
1;2.258234;0.01;15.228997
1;2.2139752;0.01;15.482434
1;2.2101786;0.01;15.733271
1;2.284133;0.01;15.986818
1;2.121288;0.01;16.202362
1;2.2617176;0.01;16.432997
1;2.1444125;0.01;16.653156
1;2.310534;0.01;16.88694
1;2.1137264;0.01;17.129745
1;2.2349105;0.01;17.354713
1;2.2344294;0.01;17.56467
1;2.22388;0.01;17.78369
1;2.1738317;0.01;18.007881
1;2.137639;0.01;18.22449
1;2.2849767;0.01;18.462328
1;2.1569014;0.01;18.688494
1;2.0604105;0.01;18.908113
1;2.1936462;0.01;19.125038
1;2.2794993;0.01;19.370558
1;2.1939166;0.01;19.586771
1;2.111912;0.01;19.80025
1;2.200101;0.01;20.009739
1;2.1721773;0.01;20.232992
1;2.2267041;0.01;20.458164
1;2.0839243;0.01;20.678696
1;2.1251268;0.01;20.916866
1;2.2023022;0.01;21.13723
1;2.0444155;0.01;21.359837
1;2.1921453;0.01;21.599104
1;2.1957576;0.01;21.901367
1;2.2957282;0.01;22.193062
1;2.103111;0.01;22.460625
1;2.2815185;0.01;22.751133
1;2.1289065;0.01;23.076818
1;2.238941;0.01;23.387009
1;2.33518;0.01;23.686588
1;2.1332793;0.01;23.97339
1;2.1886292;0.01;24.33553
1;2.1131604;0.01;24.643848
1;2.1824749;0.01;24.914236
1;2.2142687;0.01;25.154947
1;1.9589758;0.01;25.37415
1;2.0991879;0.01;25.614408
1;2.1307743;0.01;25.836992
1;2.1033285;0.01;26.066586
1;2.1521597;0.01;26.289434
1;2.0960436;0.01;26.523415
1;2.1740346;0.01;26.75613
1;2.1591094;0.01;26.97414
1;2.0833564;0.01;27.225193
1;2.2031868;0.01;27.477219
1;2.271026;0.01;27.730614
1;2.294839;0.01;27.951818
1;2.0724497;0.01;28.172525
1;2.1033988;0.01;28.393133
1;2.148145;0.01;28.611713
1;2.1879168;0.01;28.853079
1;2.171361;0.01;29.102423
1;2.1513042;0.01;29.334055
1;2.1226585;0.01;29.574863
1;2.082353;0.01;29.81202
1;2.133051;0.01;30.057055
1;2.024308;0.01;30.292242
1;2.177053;0.01;30.52872
1;2.1516454;0.01;30.750793
1;2.028508;0.01;30.976246
1;2.07903;0.01;31.222872
1;2.0042322;0.01;31.459305
1;2.208872;0.01;31.696213
1;2.0113845;0.01;31.963604
1;2.0416436;0.01;32.21793
1;2.0873423;0.01;32.469887
1;2.0902948;0.01;32.71662
1;2.0186439;0.01;32.953953
1;2.1538506;0.01;33.205975
1;2.2241364;0.01;33.4593
1;1.9825894;0.01;33.685608
1;2.0262191;0.01;33.93066
1;2.1210103;0.01;34.20125
1;2.1317434;0.01;34.466637
1;2.052779;0.01;34.715805
1;2.0700657;0.01;34.958252
1;2.037377;0.01;35.24738
1;2.0763023;0.01;35.47545
1;2.051928;0.01;35.714066
1;2.0566604;0.01;35.988987
1;1.9836138;0.01;36.271397
1;2.0661929;0.01;36.55622
1;2.048063;0.01;36.80421
1;2.1015894;0.01;37.049404
1;2.12137;0.01;37.33008
1;2.0504577;0.01;37.560993
1;1.9443619;0.01;37.799286
1;1.9705826;0.01;38.039627
1;2.0098865;0.01;38.314983
1;2.0167627;0.01;38.575066
1;1.9920713;0.01;38.86103
1;2.1074836;0.01;39.154278
1;2.087913;0.01;39.395298
1;2.0873249;0.01;39.636383
1;2.0544486;0.01;39.880035
1;2.0314207;0.01;40.125874
1;2.243624;0.01;40.38863
1;2.0239604;0.01;40.65846
1;1.9599948;0.01;40.91815
1;1.9195387;0.01;41.16952
1;2.0186589;0.01;41.44199
1;2.0359666;0.01;41.691708
1;1.9523953;0.01;41.94976
1;1.9747195;0.01;42.20699
1;2.031895;0.01;42.45276
1;1.9177208;0.01;42.72159
1;1.9901773;0.01;42.98799
1;1.8452312;0.01;43.228584
1;2.0295022;0.01;43.495533
1;1.9437382;0.01;43.757042
1;2.0759377;0.01;44.031372
1;2.1464796;0.01;44.284504
1;1.9445599;0.01;44.521225
1;1.9105383;0.01;44.782127
1;1.9739267;0.01;45.04211
1;2.2966866;0.01;45.29242
1;2.053982;0.01;45.585697
1;1.9597938;0.01;45.87888
1;1.9189185;0.01;46.117626
1;2.025398;0.01;46.34483
1;1.9868332;0.01;46.60483
1;2.0063608;0.01;47.00012
1;2.035653;0.01;47.25614
1;1.9965459;0.01;47.488277
1;1.876409;0.01;47.740517
1;1.8322668;0.01;47.998795
1;1.9005089;0.01;48.230682
1;2.0112252;0.01;48.451603
1;2.0739202;0.01;48.694958
1;1.9714942;0.01;48.912136
1;1.709075;0.01;49.142624
1;1.9459975;0.01;49.381855
1;2.0008523;0.01;49.645664
1;1.898696;0.01;49.8805
1;1.9496276;0.01;50.125576
1;2.0112896;0.01;50.36181
1;2.0552359;0.01;50.602367
1;1.8962191;0.01;50.845963
1;1.9382156;0.01;51.11775
1;2.0252624;0.01;51.380146
1;2.0088468;0.01;51.607414
1;1.9116604;0.01;51.864754
1;1.8870914;0.01;52.128487
1;1.9792092;0.01;52.417156
1;1.8563877;0.01;52.669308
1;1.9792404;0.01;52.950195
1;1.8258678;0.01;53.175285
1;1.8716911;0.01;53.404808
1;1.917638;0.01;53.66295
1;1.9507263;0.01;53.932186
1;1.88051;0.01;54.17074
1;1.7518924;0.01;54.41526
1;1.945264;0.01;54.66953
1;2.083296;0.01;54.93342
1;1.8121585;0.01;55.203407
1;1.8988458;0.01;55.460606
1;1.7335707;0.01;55.692852
1;1.7980384;0.01;55.925224
1;1.9336731;0.01;56.152763
1;1.835132;0.01;56.393703
1;1.8187561;0.01;56.69011
1;1.9259748;0.01;56.95046
1;1.916591;0.01;57.2307
1;1.8833307;0.01;57.478424
1;1.9741877;0.01;57.717686
1;2.1496787;0.01;57.98068
1;1.8889929;0.01;58.247314
1;1.7948323;0.01;58.483337
1;1.7626833;0.01;58.704823
1;1.9491838;0.01;58.930847
1;1.884321;0.01;59.15202
1;1.8647789;0.01;59.416946
1;1.9362863;0.01;59.667065
1;1.7384872;0.01;59.941013
1;1.9318889;0.01;60.177288
1;1.8937608;0.01;60.41115
1;1.6774997;0.01;60.650455
1;1.823317;0.01;60.880928
1;1.8940424;0.01;61.133965
1;1.7856653;0.01;61.403324
1;2.0170891;0.01;61.66007
1;1.7330171;0.01;61.968666
1;1.6786565;0.01;62.20023
1;2.0774627;0.01;62.453644
1;1.6251184;0.01;62.673088
1;1.9881113;0.01;62.906826
1;1.9125695;0.01;63.142838
1;1.8728751;0.01;63.408905
1;1.7817688;0.01;63.65978
1;1.8499016;0.01;63.91175
1;1.9002464;0.01;64.172424
1;1.8885535;0.01;64.41674
1;1.6847582;0.01;64.64764
1;1.8207034;0.01;64.87395
1;1.6945208;0.01;65.113106
1;1.8799775;0.01;65.38562
1;1.6126207;0.01;65.63896
1;1.9324217;0.01;65.885895
1;1.7174788;0.01;66.153496
1;1.7928172;0.01;66.435486
1;1.7999948;0.01;66.67602
1;1.848455;0.01;66.9428
1;1.9642379;0.01;67.19678
1;1.8831067;0.01;67.433945
1;1.846037;0.01;67.67694
1;2.0042374;0.01;67.91131
1;1.7844396;0.01;68.13461
1;1.7545712;0.01;68.372795
1;1.8950139;0.01;68.601616
1;1.8744538;0.01;68.85123
1;1.6991587;0.01;69.098404
1;1.8201206;0.01;69.34117
1;1.8103371;0.01;69.621315
1;1.7860308;0.01;69.866
1;1.8656236;0.01;70.12019
1;1.7586322;0.01;70.39029
1;1.7005424;0.01;70.62343
1;1.7075386;0.01;70.87989
1;1.874554;0.01;71.10883
1;1.9026207;0.01;71.338684
1;1.7503818;0.01;71.6038
1;1.7309626;0.01;71.88179
1;1.7085619;0.01;72.13145
1;1.6103914;0.01;72.391045
1;1.6100001;0.01;72.67499
1;1.5308996;0.01;72.94289
1;1.9271705;0.01;73.18168
1;1.7157387;0.01;73.42363
1;1.8439924;0.01;73.656425
1;2.0112562;0.01;73.91559
1;1.6108642;0.01;74.17594
1;1.6318643;0.01;74.42
1;1.698626;0.01;74.696724
1;1.6076437;0.01;74.936874
1;1.7343122;0.01;75.18505
1;1.4872779;0.01;75.43593
1;1.842575;0.01;75.682915
1;1.7437896;0.01;75.93209
1;1.7377214;0.01;76.194336
1;1.7599009;0.01;76.43687
1;1.5645932;0.01;76.67595
1;1.6370014;0.01;76.92861
1;1.702095;0.01;77.177185
1;1.728437;0.01;77.43291
1;1.6203067;0.01;77.70375
1;1.6195058;0.01;77.947044
1;1.7976983;0.01;78.2175
1;1.4700967;0.01;78.45569
1;1.9071978;0.01;78.7279
1;1.6293303;0.01;79.00544
1;1.79659;0.01;79.24924
1;1.744868;0.01;79.532585
1;1.7549145;0.01;79.78275
1;1.7250139;0.01;80.0356
1;1.8355097;0.01;80.29657
1;1.5675573;0.01;80.53512
1;1.5772816;0.01;80.77232
1;1.7447625;0.01;81.026
1;1.5774843;0.01;81.28625
1;1.5544658;0.01;81.5585
1;1.8092129;0.01;81.826324
1;1.3043627;0.01;82.06727
1;1.4139141;0.01;82.33356
1;1.3071933;0.01;82.63189
1;1.5489202;0.01;82.905754
1;1.6162807;0.01;83.13943
1;1.6078132;0.01;83.38949
1;1.5885817;0.01;83.63471
1;1.4303236;0.01;83.88966
1;1.6167608;0.01;84.12153
1;1.6328254;0.01;84.39714
1;1.4563048;0.01;84.673134
1;1.6375548;0.01;84.90939
1;1.4933689;0.01;85.18484
1;1.8134335;0.01;85.4397
1;1.7547923;0.01;85.66857
1;1.7025778;0.01;85.905106
1;1.4958669;0.01;86.17853
1;1.7213031;0.01;86.41622
1;1.7315161;0.01;86.6783
1;1.4727396;0.01;86.913445
1;1.600937;0.01;87.16505
1;1.8030926;0.01;87.407906
1;1.4876426;0.01;87.65496
1;1.7243457;0.01;87.90107
1;1.785086;0.01;88.18213
1;1.5135137;0.01;88.41625
1;1.5978768;0.01;88.66273
1;1.5438162;0.01;88.92259
1;1.8969876;0.01;89.16843
1;1.4732127;0.01;89.41551
1;1.4914376;0.01;89.67361
1;1.5936781;0.01;89.9278
1;1.4604774;0.01;90.17918
1;1.5513169;0.01;90.42683
1;1.6100471;0.01;90.69004
1;1.5107219;0.01;90.96642
1;1.5758595;0.01;91.23657
1;1.8820086;0.01;91.49311
1;1.5724405;0.01;91.75969
1;1.6964537;0.01;92.00706
1;1.7544779;0.01;92.25973
1;1.2216436;0.01;92.525536
1;1.3545101;0.01;92.78231
1;1.4839145;0.01;93.03698
1;1.7473639;0.01;93.296364
1;1.5648723;0.01;93.58468
1;1.4401813;0.01;93.839264
1;1.2306774;0.01;94.12205
1;1.6342268;0.01;94.39387
1;1.5381764;0.01;94.69098
1;1.4612597;0.01;94.955154
1;1.4400187;0.01;95.19941
1;1.5219879;0.01;95.450264
1;1.3313321;0.01;95.69948
1;1.7143159;0.01;95.941
1;1.6652391;0.01;96.191315
1;1.6243213;0.01;96.419556
1;1.6562439;0.01;96.65665
1;1.358497;0.01;96.89645
1;1.4308274;0.01;97.18319
1;1.7976891;0.01;97.44271
1;1.7155015;0.01;97.72003
1;1.3447114;0.01;97.98219
1;1.6622635;0.01;98.222946
1;1.4596007;0.01;98.480034
1;1.7116398;0.01;98.72589
1;1.5883567;0.01;99.01978
1;1.6745857;0.01;99.251175
1;1.6346946;0.01;99.47962
1;1.5805756;0.01;99.71992
1;1.5178639;0.01;99.96756
1;1.2830606;0.01;100.21011
1;1.5770372;0.01;100.49001
1;1.8799747;0.01;100.745964
1;1.7507373;0.01;100.999535
1;1.4531039;0.01;101.25213
1;1.5323967;0.01;101.49508
1;1.5185106;0.01;101.74106
1;1.2894881;0.01;102.008675
1;1.6981624;0.01;102.2837
1;1.5476122;0.01;102.53839
1;1.573745;0.01;102.76378
1;1.6005118;0.01;103.016594
1;1.4914621;0.01;103.26997
1;1.5455253;0.01;103.53909
1;1.5714298;0.01;103.83024
1;1.6430254;0.01;104.10809
1;1.567865;0.01;104.349075
1;1.4595237;0.01;104.58325
1;1.338002;0.01;104.815796
1;1.1418716;0.01;105.08977
1;1.4704994;0.01;105.33546
1;1.6563902;0.01;105.58229
1;1.2908571;0.01;105.839355
1;1.3512932;0.01;106.06631
1;1.6764903;0.01;106.32836
1;1.6639099;0.01;106.59263
1;1.4337975;0.01;106.87145
1;1.6306682;0.01;107.14042
1;1.4802883;0.01;107.395164
1;1.7135825;0.01;107.64681
1;1.490526;0.01;107.921814
